          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    0.000     0     0     0.0      0      0 |    1     1    0.0000    0.0000    0.0000 |
    0.050     0     0     0.0      0      0 |   50    51    0.0019    0.0000    0.0000 |
    0.100     0     0     0.0      0      0 |   50   101    0.0019    0.0000    0.0000 |
    0.150     0     0     0.0      0      0 |   50   151    0.0018    0.0000    0.0000 |
    0.200     0     0     0.0      0      0 |   50   201    0.0018    0.0000    0.0000 |
    0.250     0     0     0.0      0      0 |   50   251    0.0017    0.0000    0.0000 |
    0.300     0     0     0.0      0      0 |   50   301    0.0018    0.0000    0.0000 |
    0.350     0     0     0.0      0      0 |   50   351    0.0017    0.0000    0.0000 |
    0.400     0     0     0.0      0      0 |   50   401    0.0017    0.0000    0.0000 |
    0.450     0     0     0.0      0      0 |   50   451    0.0018    0.0000    0.0000 |
    0.500     0     0     0.0      0      0 |   50   501    0.0017    0.0000    0.0000 |
    0.550     0     0     0.0      0      0 |   50   551    0.0018    0.0000    0.0000 |
    0.600     0     0     0.0      0      0 |   50   601    0.0017    0.0000    0.0000 |
    0.650     0     0     0.0      0      0 |   50   651    0.0017    0.0000    0.0000 |
    0.700     0     0     0.0      0      0 |   50   701    0.0018    0.0000    0.0000 |
    0.750     0     0     0.0      0      0 |   50   751    0.0017    0.0000    0.0000 |
    0.800     0     0     0.0      0      0 |   50   801    0.0017    0.0000    0.0000 |
    0.850     0     0     0.0      0      0 |   50   851    0.0019    0.0000    0.0000 |
    0.900     0     0     0.0      0      0 |   50   901    0.0018    0.0000    0.0000 |
    0.950     0     0     0.0      0      0 |   50   951    0.0017    0.0000    0.0000 |
    1.000     0     0     0.0      0      0 |   50  1001    0.0020    0.0000    0.0000 |
    1.050     0     0     0.0      0      0 |   50  1051    0.0017    0.0000    0.0000 |
    1.100     0     0     0.0      0      0 |   50  1101    0.0019    0.0000    0.0000 |
    1.150     0     0     0.0      0      0 |   50  1151    0.0017    0.0000    0.0000 |
    1.200     0     0     0.0      0      0 |   50  1201    0.0017    0.0000    0.0000 |
    1.250     0     0     0.0      0      0 |   50  1251    0.0016    0.0000    0.0000 |
    1.300     0     0     0.0      0      0 |   50  1301    0.0018    0.0000    0.0000 |
    1.350     0     0     0.0      0      0 |   50  1351    0.0018    0.0000    0.0000 |
    1.400     0     0     0.0      0      0 |   50  1401    0.0017    0.0000    0.0000 |
    1.450     0     0     0.0      0      0 |   50  1451    0.0018    0.0000    0.0000 |
    1.500     0     0     0.0      0      0 |   50  1501    0.0019    0.0000    0.0000 |
    1.550     0     0     0.0      0      0 |   50  1551    0.0018    0.0000    0.0000 |
    1.600     0     0     0.0      0      0 |   50  1601    0.0017    0.0000    0.0000 |
    1.650     0     0     0.0      0      0 |   50  1651    0.0018    0.0000    0.0000 |
    1.700     0     0     0.0      0      0 |   50  1701    0.0018    0.0000    0.0000 |
    1.750     0     0     0.0      0      0 |   50  1751    0.0019    0.0000    0.0000 |
    1.800     0     0     0.0      0      0 |   50  1801    0.0019    0.0000    0.0000 |
    1.850     0     0     0.0      0      0 |   50  1851    0.0017    0.0000    0.0000 |
    1.900     0     0     0.0      0      0 |   50  1901    0.0017    0.0000    0.0000 |
    1.950     0     0     0.0      0      0 |   50  1951    0.0018    0.0000    0.0000 |
    2.000     0     0     0.0      0      0 |   50  2001    0.0017    0.0000    0.0000 |
    2.050    43    66    52.4   2622   2622 |   50  2051    1.4774    0.0295    0.0006 |
    2.100    31    43    40.6   2030   4652 |   50  2101    1.1328    0.0227    0.0006 |
