          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    0.000     0     0     0.0      0      0 |    1     1    0.0000    0.0000    0.0000 |
    0.050     0     0     0.0      0      0 |   50    51    0.1267    0.0025    0.0000 |
    0.100     0     0     0.0      0      0 |   50   101    0.1169    0.0023    0.0000 |
    0.150     0     0     0.0      0      0 |   50   151    0.1325    0.0026    0.0000 |
    0.200     0     0     0.0      0      0 |   50   201    0.1175    0.0023    0.0000 |
    0.250     0     0     0.0      0      0 |   50   251    0.1190    0.0024    0.0000 |
    0.300     0     0     0.0      0      0 |   50   301    0.1202    0.0024    0.0000 |
    0.350     0     0     0.0      0      0 |   50   351    0.1213    0.0024    0.0000 |
    0.400     0     0     0.0      0      0 |   50   401    0.1188    0.0024    0.0000 |
    0.450     0     0     0.0      0      0 |   50   451    0.1221    0.0024    0.0000 |
    0.500     0     0     0.0      0      0 |   50   501    0.1433    0.0029    0.0000 |
    0.550     0     0     0.0      0      0 |   50   551    0.1326    0.0027    0.0000 |
    0.600     0     0     0.0      0      0 |   50   601    0.1330    0.0027    0.0000 |
    0.650     0     0     0.0      0      0 |   50   651    0.1306    0.0026    0.0000 |
    0.700     0     0     0.0      0      0 |   50   701    0.1185    0.0024    0.0000 |
    0.750     0     0     0.0      0      0 |   50   751    0.1233    0.0025    0.0000 |
    0.800     0     0     0.0      0      0 |   50   801    0.1236    0.0025    0.0000 |
    0.850     0     0     0.0      0      0 |   50   851    0.1088    0.0022    0.0000 |
    0.900     0     0     0.0      0      0 |   50   901    0.1260    0.0025    0.0000 |
    0.950     0     0     0.0      0      0 |   50   951    0.1252    0.0025    0.0000 |
    1.000     0     0     0.0      0      0 |   50  1001    0.1177    0.0024    0.0000 |
    1.050     0     0     0.0      0      0 |   50  1051    0.1243    0.0025    0.0000 |
    1.100     0     0     0.0      0      0 |   50  1101    0.1286    0.0026    0.0000 |
    1.150     0     0     0.0      0      0 |   50  1151    0.1216    0.0024    0.0000 |
    1.200     0     0     0.0      0      0 |   50  1201    0.1263    0.0025    0.0000 |
    1.250     0     0     0.0      0      0 |   50  1251    0.1158    0.0023    0.0000 |
    1.300     0     0     0.0      0      0 |   50  1301    0.1115    0.0022    0.0000 |
    1.350     0     0     0.0      0      0 |   50  1351    0.1259    0.0025    0.0000 |
    1.400     0     0     0.0      0      0 |   50  1401    0.1230    0.0025    0.0000 |
    1.450     0     0     0.0      0      0 |   50  1451    0.1271    0.0025    0.0000 |
    1.500     0     0     0.0      0      0 |   50  1501    0.1076    0.0022    0.0000 |
    1.550     0     0     0.0      0      0 |   50  1551    0.1248    0.0025    0.0000 |
    1.600     0     0     0.0      0      0 |   50  1601    0.1255    0.0025    0.0000 |
    1.650     0     0     0.0      0      0 |   50  1651    0.1309    0.0026    0.0000 |
    1.700     0     0     0.0      0      0 |   50  1701    0.1245    0.0025    0.0000 |
    1.750     0     0     0.0      0      0 |   50  1751    0.1143    0.0023    0.0000 |
    1.800     0     0     0.0      0      0 |   50  1801    0.1203    0.0024    0.0000 |
    1.850     0     0     0.0      0      0 |   50  1851    0.1234    0.0025    0.0000 |
    1.900     0     0     0.0      0      0 |   50  1901    0.1246    0.0025    0.0000 |
    1.950     0     0     0.0      0      0 |   50  1951    0.1201    0.0024    0.0000 |
    2.000     0     0     0.0      0      0 |   50  2001    0.1267    0.0025    0.0000 |
    2.050    57    83    71.4   3569   3569 |   50  2051    4.8212    0.0964    0.0014 |
    2.100    55    64    57.8   2890   6459 |   50  2101    3.9243    0.0785    0.0014 |
