          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    0.000     0     0     0.0      0      0 |    1     1    0.0000    0.0000    0.0000 |
    0.050     0     0     0.0      0      0 |   50    51    0.0111    0.0002    0.0000 |
    0.100     0     0     0.0      0      0 |   50   101    0.0097    0.0002    0.0000 |
    0.150     0     0     0.0      0      0 |   50   151    0.0097    0.0002    0.0000 |
    0.200     0     0     0.0      0      0 |   50   201    0.0092    0.0002    0.0000 |
    0.250     0     0     0.0      0      0 |   50   251    0.0095    0.0002    0.0000 |
    0.300     0     0     0.0      0      0 |   50   301    0.0096    0.0002    0.0000 |
    0.350     0     0     0.0      0      0 |   50   351    0.0095    0.0002    0.0000 |
    0.400     0     0     0.0      0      0 |   50   401    0.0095    0.0002    0.0000 |
    0.450     0     0     0.0      0      0 |   50   451    0.0102    0.0002    0.0000 |
    0.500     0     0     0.0      0      0 |   50   501    0.0119    0.0002    0.0000 |
    0.550     0     0     0.0      0      0 |   50   551    0.0099    0.0002    0.0000 |
    0.600     0     0     0.0      0      0 |   50   601    0.0101    0.0002    0.0000 |
    0.650     0     0     0.0      0      0 |   50   651    0.0097    0.0002    0.0000 |
    0.700     0     0     0.0      0      0 |   50   701    0.0097    0.0002    0.0000 |
    0.750     0     0     0.0      0      0 |   50   751    0.0097    0.0002    0.0000 |
    0.800     0     0     0.0      0      0 |   50   801    0.0097    0.0002    0.0000 |
    0.850     0     0     0.0      0      0 |   50   851    0.0095    0.0002    0.0000 |
    0.900     0     0     0.0      0      0 |   50   901    0.0097    0.0002    0.0000 |
    0.950     0     0     0.0      0      0 |   50   951    0.0095    0.0002    0.0000 |
    1.000     0     0     0.0      0      0 |   50  1001    0.0096    0.0002    0.0000 |
    1.050     0     0     0.0      0      0 |   50  1051    0.0096    0.0002    0.0000 |
    1.100     0     0     0.0      0      0 |   50  1101    0.0096    0.0002    0.0000 |
    1.150     0     0     0.0      0      0 |   50  1151    0.0096    0.0002    0.0000 |
    1.200     0     0     0.0      0      0 |   50  1201    0.0094    0.0002    0.0000 |
    1.250     0     0     0.0      0      0 |   50  1251    0.0096    0.0002    0.0000 |
    1.300     0     0     0.0      0      0 |   50  1301    0.0096    0.0002    0.0000 |
    1.350     0     0     0.0      0      0 |   50  1351    0.0098    0.0002    0.0000 |
    1.400     0     0     0.0      0      0 |   50  1401    0.0099    0.0002    0.0000 |
    1.450     0     0     0.0      0      0 |   50  1451    0.0097    0.0002    0.0000 |
    1.500     0     0     0.0      0      0 |   50  1501    0.0094    0.0002    0.0000 |
    1.550     0     0     0.0      0      0 |   50  1551    0.0097    0.0002    0.0000 |
    1.600     0     0     0.0      0      0 |   50  1601    0.0097    0.0002    0.0000 |
    1.650     0     0     0.0      0      0 |   50  1651    0.0097    0.0002    0.0000 |
    1.700     0     0     0.0      0      0 |   50  1701    0.0098    0.0002    0.0000 |
    1.750     0     0     0.0      0      0 |   50  1751    0.0097    0.0002    0.0000 |
    1.800     0     0     0.0      0      0 |   50  1801    0.0097    0.0002    0.0000 |
    1.850     0     0     0.0      0      0 |   50  1851    0.0095    0.0002    0.0000 |
    1.900     0     0     0.0      0      0 |   50  1901    0.0099    0.0002    0.0000 |
    1.950     0     0     0.0      0      0 |   50  1951    0.0096    0.0002    0.0000 |
    2.000     0     0     0.0      0      0 |   50  2001    0.0098    0.0002    0.0000 |
    2.050    21    23    22.2   1108   1108 |   50  2051    0.0899    0.0018    0.0001 |
    2.100    23    23    23.0   1150   2258 |   50  2101    0.0930    0.0019    0.0001 |
