          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    0.000     0     0     0.0      0      0 |    1     1    0.0000    0.0000    0.0000 |
    0.010     0    23    18.3    183    183 |   10    11    0.0649    0.0065    0.0004 |
    0.020    14    18    15.9    159    342 |   10    21    0.0374    0.0037    0.0002 |
    0.030    14    15    14.1    141    483 |   10    31    0.0355    0.0035    0.0003 |
    0.040    13    13    13.0    130    613 |   10    41    0.0321    0.0032    0.0002 |
    0.050    13    13    13.0    130    743 |   10    51    0.0266    0.0027    0.0002 |
    0.060    13    13    13.0    130    873 |   10    61    0.0253    0.0025    0.0002 |
    0.070    12    13    12.1    121    994 |   10    71    0.0228    0.0023    0.0002 |
    0.080    12    12    12.0    120   1114 |   10    81    0.0236    0.0024    0.0002 |
    0.090    12    12    12.0    120   1234 |   10    91    0.0239    0.0024    0.0002 |
    0.100    12    12    12.0    120   1354 |   10   101    0.0232    0.0023    0.0002 |
    0.110    12    12    12.0    120   1474 |   10   111    0.0223    0.0022    0.0002 |
    0.120    12    12    12.0    120   1594 |   10   121    0.0241    0.0024    0.0002 |
    0.130    12    12    12.0    120   1714 |   10   131    0.0232    0.0023    0.0002 |
    0.140    12    12    12.0    120   1834 |   10   141    0.0251    0.0025    0.0002 |
    0.150    12    12    12.0    120   1954 |   10   151    0.0233    0.0023    0.0002 |
    0.160    12    12    12.0    120   2074 |   10   161    0.0229    0.0023    0.0002 |
    0.170    12    12    12.0    120   2194 |   10   171    0.0232    0.0023    0.0002 |
    0.180    12    12    12.0    120   2314 |   10   181    0.0242    0.0024    0.0002 |
    0.190    12    12    12.0    120   2434 |   10   191    0.0240    0.0024    0.0002 |
    0.200    12    12    12.0    120   2554 |   10   201    0.0239    0.0024    0.0002 |
    0.210    12    12    12.0    120   2674 |   10   211    0.0235    0.0023    0.0002 |
    0.220    12    12    12.0    120   2794 |   10   221    0.0236    0.0024    0.0002 |
    0.230    12    12    12.0    120   2914 |   10   231    0.0245    0.0024    0.0002 |
    0.240    12    12    12.0    120   3034 |   10   241    0.0245    0.0025    0.0002 |
    0.250    12    12    12.0    120   3154 |   10   251    0.0225    0.0023    0.0002 |
    0.260    12    12    12.0    120   3274 |   10   261    0.0232    0.0023    0.0002 |
    0.270    12    12    12.0    120   3394 |   10   271    0.0235    0.0024    0.0002 |
    0.280    12    12    12.0    120   3514 |   10   281    0.0232    0.0023    0.0002 |
    0.290    12    12    12.0    120   3634 |   10   291    0.0236    0.0024    0.0002 |
    0.300    12    12    12.0    120   3754 |   10   301    0.0238    0.0024    0.0002 |
    0.310    12    12    12.0    120   3874 |   10   311    0.0235    0.0024    0.0002 |
    0.320    12    12    12.0    120   3994 |   10   321    0.0230    0.0023    0.0002 |
    0.330    10    12    10.6    106   4100 |   10   331    0.0209    0.0021    0.0002 |
    0.340    10    10    10.0    100   4200 |   10   341    0.0213    0.0021    0.0002 |
    0.350    10    10    10.0    100   4300 |   10   351    0.0202    0.0020    0.0002 |
    0.360    10    10    10.0    100   4400 |   10   361    0.0195    0.0019    0.0002 |
    0.370    10    10    10.0    100   4500 |   10   371    0.0210    0.0021    0.0002 |
    0.380    10    10    10.0    100   4600 |   10   381    0.0204    0.0020    0.0002 |
    0.390    10    10    10.0    100   4700 |   10   391    0.0207    0.0021    0.0002 |
    0.400    10    10    10.0    100   4800 |   10   401    0.0201    0.0020    0.0002 |
    0.410    10    10    10.0    100   4900 |   10   411    0.0196    0.0020    0.0002 |
    0.420    10    10    10.0    100   5000 |   10   421    0.0195    0.0020    0.0002 |
