          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    0.000     0     0     0.0      0      0 |    1     1    0.0000    0.0000    0.0000 |
    0.010     7     8     7.6     76     76 |   10    11    0.0178    0.0018    0.0002 |
    0.020     8     8     8.0     80    156 |   10    21    0.0035    0.0004    0.0000 |
    0.030     8     8     8.0     80    236 |   10    31    0.0034    0.0003    0.0000 |
    0.040     8     8     8.0     80    316 |   10    41    0.0033    0.0003    0.0000 |
    0.050     8     8     8.0     80    396 |   10    51    0.0030    0.0003    0.0000 |
    0.060     8     8     8.0     80    476 |   10    61    0.0030    0.0003    0.0000 |
    0.070     8     8     8.0     80    556 |   10    71    0.0028    0.0003    0.0000 |
    0.080     8     8     8.0     80    636 |   10    81    0.0027    0.0003    0.0000 |
    0.090     8     8     8.0     80    716 |   10    91    0.0027    0.0003    0.0000 |
    0.100     8     8     8.0     80    796 |   10   101    0.0029    0.0003    0.0000 |
    0.110     8     8     8.0     80    876 |   10   111    0.0026    0.0003    0.0000 |
    0.120     8     8     8.0     80    956 |   10   121    0.0026    0.0003    0.0000 |
    0.130     8     8     8.0     80   1036 |   10   131    0.0026    0.0003    0.0000 |
    0.140     8     8     8.0     80   1116 |   10   141    0.0028    0.0003    0.0000 |
    0.150     8     8     8.0     80   1196 |   10   151    0.0029    0.0003    0.0000 |
    0.160     8     8     8.0     80   1276 |   10   161    0.0025    0.0003    0.0000 |
    0.170     8     8     8.0     80   1356 |   10   171    0.0026    0.0003    0.0000 |
    0.180     8     8     8.0     80   1436 |   10   181    0.0027    0.0003    0.0000 |
    0.190     8     8     8.0     80   1516 |   10   191    0.0027    0.0003    0.0000 |
    0.200     8     8     8.0     80   1596 |   10   201    0.0028    0.0003    0.0000 |
    0.210     8     8     8.0     80   1676 |   10   211    0.0028    0.0003    0.0000 |
    0.220     8     8     8.0     80   1756 |   10   221    0.0029    0.0003    0.0000 |
    0.230     8     8     8.0     80   1836 |   10   231    0.0032    0.0003    0.0000 |
    0.240     8     8     8.0     80   1916 |   10   241    0.0027    0.0003    0.0000 |
    0.250     8     8     8.0     80   1996 |   10   251    0.0028    0.0003    0.0000 |
    0.260     8     8     8.0     80   2076 |   10   261    0.0028    0.0003    0.0000 |
    0.270     8     8     8.0     80   2156 |   10   271    0.0026    0.0003    0.0000 |
    0.280     8     8     8.0     80   2236 |   10   281    0.0026    0.0003    0.0000 |
    0.290     8     8     8.0     80   2316 |   10   291    0.0027    0.0003    0.0000 |
    0.300     8     8     8.0     80   2396 |   10   301    0.0027    0.0003    0.0000 |
    0.310     8     8     8.0     80   2476 |   10   311    0.0028    0.0003    0.0000 |
    0.320     8     8     8.0     80   2556 |   10   321    0.0028    0.0003    0.0000 |
    0.330     8     8     8.0     80   2636 |   10   331    0.0026    0.0003    0.0000 |
    0.340     8     8     8.0     80   2716 |   10   341    0.0027    0.0003    0.0000 |
    0.350     8     8     8.0     80   2796 |   10   351    0.0029    0.0003    0.0000 |
    0.360     8     8     8.0     80   2876 |   10   361    0.0027    0.0003    0.0000 |
    0.370     8     8     8.0     80   2956 |   10   371    0.0029    0.0003    0.0000 |
    0.380     8     8     8.0     80   3036 |   10   381    0.0026    0.0003    0.0000 |
    0.390     8     8     8.0     80   3116 |   10   391    0.0027    0.0003    0.0000 |
    0.400     8     8     8.0     80   3196 |   10   401    0.0028    0.0003    0.0000 |
    0.410     8     8     8.0     80   3276 |   10   411    0.0026    0.0003    0.0000 |
    0.420     8     8     8.0     80   3356 |   10   421    0.0027    0.0003    0.0000 |
