          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    0.000     0     0     0.0      0      0 |    1     1    0.0000    0.0000    0.0000 |
    0.005     0     7     5.6     28     28 |    5     6    0.0100    0.0020    0.0004 |
    0.010     6     6     6.0     30     58 |    5    11    0.0078    0.0016    0.0003 |
    0.015     4     6     5.0     25     83 |    5    16    0.0069    0.0014    0.0003 |
    0.020     5     5     5.0     25    108 |    5    21    0.0063    0.0013    0.0003 |
    0.025     5     5     5.0     25    133 |    5    26    0.0071    0.0014    0.0003 |
    0.030     5     5     5.0     25    158 |    5    31    0.0071    0.0014    0.0003 |
    0.035     5     5     5.0     25    183 |    5    36    0.0066    0.0013    0.0003 |
    0.040     5     5     5.0     25    208 |    5    41    0.0064    0.0013    0.0003 |
    0.045     5     5     5.0     25    233 |    5    46    0.0060    0.0012    0.0002 |
    0.050     5     5     5.0     25    258 |    5    51    0.0070    0.0014    0.0003 |
    0.055     5     5     5.0     25    283 |    5    56    0.0066    0.0013    0.0003 |
    0.060     5     5     5.0     25    308 |    5    61    0.0075    0.0015    0.0003 |
    0.065     5     5     5.0     25    333 |    5    66    0.0074    0.0015    0.0003 |
    0.070     4     5     4.6     23    356 |    5    71    0.0067    0.0013    0.0003 |
    0.075     4     4     4.0     20    376 |    5    76    0.0055    0.0011    0.0003 |
    0.080     4     4     4.0     20    396 |    5    81    0.0060    0.0012    0.0003 |
    0.085     4     4     4.0     20    416 |    5    86    0.0060    0.0012    0.0003 |
    0.090     4     4     4.0     20    436 |    5    91    0.0059    0.0012    0.0003 |
    0.095     4     4     4.0     20    456 |    5    96    0.0056    0.0011    0.0003 |
    0.100     4     4     4.0     20    476 |    5   101    0.0063    0.0013    0.0003 |
    0.105     4     4     4.0     20    496 |    5   106    0.0055    0.0011    0.0003 |
    0.110     4     4     4.0     20    516 |    5   111    0.0058    0.0012    0.0003 |
    0.115     4     4     4.0     20    536 |    5   116    0.0065    0.0013    0.0003 |
    0.120     4     4     4.0     20    556 |    5   121    0.0054    0.0011    0.0003 |
    0.125     4     4     4.0     20    576 |    5   126    0.0061    0.0012    0.0003 |
    0.130     4     4     4.0     20    596 |    5   131    0.0060    0.0012    0.0003 |
    0.135     4     4     4.0     20    616 |    5   136    0.0060    0.0012    0.0003 |
    0.140     4     4     4.0     20    636 |    5   141    0.0055    0.0011    0.0003 |
    0.145     4     4     4.0     20    656 |    5   146    0.0055    0.0011    0.0003 |
    0.150     4     4     4.0     20    676 |    5   151    0.0058    0.0012    0.0003 |
    0.155     4     4     4.0     20    696 |    5   156    0.0054    0.0011    0.0003 |
    0.160     4     4     4.0     20    716 |    5   161    0.0063    0.0013    0.0003 |
    0.165     4     4     4.0     20    736 |    5   166    0.0062    0.0012    0.0003 |
    0.170     4     4     4.0     20    756 |    5   171    0.0059    0.0012    0.0003 |
    0.175     4     4     4.0     20    776 |    5   176    0.0054    0.0011    0.0003 |
    0.180     4     4     4.0     20    796 |    5   181    0.0049    0.0010    0.0002 |
    0.185     4     4     4.0     20    816 |    5   186    0.0061    0.0012    0.0003 |
    0.190     4     4     4.0     20    836 |    5   191    0.0062    0.0012    0.0003 |
    0.195     4     4     4.0     20    856 |    5   196    0.0059    0.0012    0.0003 |
    0.200     4     4     4.0     20    876 |    5   201    0.0063    0.0013    0.0003 |
    0.205     4     4     4.0     20    896 |    5   206    0.0051    0.0010    0.0003 |
    0.210     4     4     4.0     20    916 |    5   211    0.0052    0.0010    0.0003 |
