          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
    0.000     0     0     0.0      0      0 |    1     1    0.0000    0.0000    0.0000 |
    0.005    53    54    53.2    266    266 |    5     6    0.0074    0.0015    0.0000 |
    0.010    53    53    53.0    265    531 |    5    11    0.0069    0.0014    0.0000 |
    0.015    53    53    53.0    265    796 |    5    16    0.0070    0.0014    0.0000 |
    0.020    53    53    53.0    265   1061 |    5    21    0.0069    0.0014    0.0000 |
    0.025    53    53    53.0    265   1326 |    5    26    0.0066    0.0013    0.0000 |
    0.030    53    53    53.0    265   1591 |    5    31    0.0071    0.0014    0.0000 |
    0.035    53    53    53.0    265   1856 |    5    36    0.0068    0.0014    0.0000 |
    0.040    53    53    53.0    265   2121 |    5    41    0.0067    0.0013    0.0000 |
    0.045    53    53    53.0    265   2386 |    5    46    0.0067    0.0013    0.0000 |
    0.050    53    53    53.0    265   2651 |    5    51    0.0067    0.0013    0.0000 |
    0.055    53    53    53.0    265   2916 |    5    56    0.0067    0.0013    0.0000 |
    0.060    53    53    53.0    265   3181 |    5    61    0.0068    0.0014    0.0000 |
    0.065    53    53    53.0    265   3446 |    5    66    0.0068    0.0014    0.0000 |
    0.070    53    53    53.0    265   3711 |    5    71    0.0066    0.0013    0.0000 |
    0.075    53    53    53.0    265   3976 |    5    76    0.0071    0.0014    0.0000 |
    0.080    53    53    53.0    265   4241 |    5    81    0.0070    0.0014    0.0000 |
    0.085    53    53    53.0    265   4506 |    5    86    0.0069    0.0014    0.0000 |
    0.090    53    53    53.0    265   4771 |    5    91    0.0067    0.0013    0.0000 |
    0.095    53    53    53.0    265   5036 |    5    96    0.0068    0.0014    0.0000 |
    0.100    53    53    53.0    265   5301 |    5   101    0.0071    0.0014    0.0000 |
    0.105    53    53    53.0    265   5566 |    5   106    0.0067    0.0013    0.0000 |
    0.110    53    53    53.0    265   5831 |    5   111    0.0068    0.0014    0.0000 |
    0.115    53    53    53.0    265   6096 |    5   116    0.0070    0.0014    0.0000 |
    0.120    53    53    53.0    265   6361 |    5   121    0.0075    0.0015    0.0000 |
    0.125    53    53    53.0    265   6626 |    5   126    0.0070    0.0014    0.0000 |
    0.130    53    53    53.0    265   6891 |    5   131    0.0065    0.0013    0.0000 |
    0.135    53    53    53.0    265   7156 |    5   136    0.0065    0.0013    0.0000 |
    0.140    53    53    53.0    265   7421 |    5   141    0.0071    0.0014    0.0000 |
    0.145    53    53    53.0    265   7686 |    5   146    0.0066    0.0013    0.0000 |
    0.150    53    53    53.0    265   7951 |    5   151    0.0067    0.0013    0.0000 |
    0.155    53    53    53.0    265   8216 |    5   156    0.0067    0.0013    0.0000 |
    0.160    53    53    53.0    265   8481 |    5   161    0.0072    0.0014    0.0000 |
    0.165    53    53    53.0    265   8746 |    5   166    0.0067    0.0013    0.0000 |
    0.170    53    53    53.0    265   9011 |    5   171    0.0067    0.0013    0.0000 |
    0.175    53    53    53.0    265   9276 |    5   176    0.0069    0.0014    0.0000 |
    0.180    53    53    53.0    265   9541 |    5   181    0.0069    0.0014    0.0000 |
    0.185    53    53    53.0    265   9806 |    5   186    0.0069    0.0014    0.0000 |
    0.190    53    53    53.0    265  10071 |    5   191    0.0076    0.0015    0.0000 |
    0.195    53    53    53.0    265  10336 |    5   196    0.0069    0.0014    0.0000 |
    0.200    53    53    53.0    265  10601 |    5   201    0.0072    0.0014    0.0000 |
    0.205    53    53    53.0    265  10866 |    5   206    0.0070    0.0014    0.0000 |
    0.210    53    53    53.0    265  11131 |    5   211    0.0070    0.0014    0.0000 |
